full name,alias,account name,social security number,national id number,passport number,drivers license number,government id number,certificate number,medical record number,bank account number,credit card number,debit card number,email address,phone number,fax number,physical address,geolocation data,ip address,device serial number,mac address,,,,,,,
GRACE BROWN,gracebrown357,GRACE BROWN Account,Not Provided,NID-GP4A7W92,4KHOH19,IYD7AN2E,GOV-490464,CERT-2019-243150,MRN-8449883,481180829,N/A,**** **** **** 7912,grace.brown@company.org,493.579.9476,N/A,"4429 Maple Drive, Austin, IL 26643, USA","{""lat"": 10.5985, ""lon"": 155.403951}",127.0.0.1,D1VIBVOY2HIB,11-b0-f4-0b-77-a0,,,,,,,
Patricia García,  patriciagarcía  ,corp:Patricia García,701367882,FR46964589244,RR5K3UF,T7-TBA-TYV,,CERT-2012-246025,MRN-8878073,1.91935E+11,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,patricia.garcía@company.org,(902) 660-3630 x482,N/A,"9369 2nd Ave, Chicago, WA 82916, USA",POINT(19.916112 80.416243),da4e:ce60:bb3:7831:d1ca:d8eb:fee:,Q8LSMXCD4ZG1,f4-fd-ef-83-47-8e,,,,,,,
Patricia Brown,patriciabrown,acct_Patricia_Brown,N/A,6.72877E+11,BSBQEA3,#NAME?,GOV-578560,CERT-2005-442849,MRN-8149635,021737339,XXXX-XXXX-XXXX-0000,**** **** **** 9342,patricia.brown..y@example.com,-6401,N/A,"8062 Oak Avenue, Chicago, IL 23879, USA","-61.315167,99.7832",143.49.195.15,,C3:A6:17:86:8A:94,,,,,,,
Ethan Dupont,ethan64,acct_Ethan_Dupont,164-23-9065,3.09215E+11,LKVZID,0GA98CJW,GOV-614734,CERT-2025-073258,MRN-0637035,209225450,XXXX-XXXX-XXXX-0000,**** **** **** 7026,ethan.dupont+703@example.com,+33 1 25 89 79,+33 8 52 48 71,"8880 Main St, Chicago, NY 73532, USA",Latitude: -21.094394; Longitude: 3.787636,42.176.161.58,SN-4083390,ef29.2fe0.f2b0,,,,,,,
John Smith-Jones,johnsmi79,corp:John Smith-Jones,756217604,FR99824770751,7L6E18YAA,Z67EK5DTKXK8,,CERT-2012-338193,MRN-6817922,6.72602E+11,3740599743087809,masked: **** **** **** 5678,john.smithjones@company.org,+33 8 76 45 61,N/A,"7357 3rd St, Chicago, TX 60619, USA",Latitude: 17.98177; Longitude: 71.269637,af96:401c:a1d7:afec:99f5:4ca4::ab0f,LD3KI04RC1BG,3574.53e0.77d0,,,,,,,
SAMANTHA JOHNSON,  samanthajohnson123  ,SAMANTHA JOHNSON Account,414-97-1077,FR74116028595,DQEWUK7,ODGZROBP,,CERT-2019-519054,MRN-4433294,09978442,XXXX-XXXX-XXXX-0000,**** **** **** 7848,samantha.johnson@service.net,-8104,N/A,"9071 3rd St, Seattle, WA 38496, USA",24.416466;-15.937324,127.0.0.1,2BXBZIYNL2ZL,67:42:da:ab:e7:4e,,,,,,,
pAtrICia o'Connor,patriciaoconnor_01,corp:pAtrICia o'Connor,208-71-4554,NID-RX01E0Z3,AFVDRPRAF,LZXV3Y,,CERT-2014-388123,MRN-5732977,9078 16293096,N/A,4960874961229832,patricia.oconnor@sub.testmail.com,-9446,N/A,"262 Sunset Blvd, San Francisco, NY 38322, USA","64.421169,81.656368",127.0.0.1,Y27ERB8K8LSZ,3C:7A:E6:28:D7:A6,,,,,,,
Robert Nguyen,robertnguyen_01,Robert Nguyen Account,000-00-0000,3.49228E+11,UV4ZRG,GN8XXPKN4X,,CERT-2019-519016,MRN-7525232,4829 4078,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,robert.nguyen@sub.company.org,(965) 572-4199 x778,,"6283 Sunset Blvd
Apt 988, New York, NY 30079",POINT(-106.015428 67.818952),999.999.999.999,MQVECY7M7JJE,c1-07-9c-5e-f8-bf,,,,,,,
Anaïs Smith-Jones,anaïssmi41,Anaïs Smith-Jones Account,626220397,6.52726E+11,CLB9FTAER,YFPZC35J5KCS,GOV-482165,CERT-2022-747639,MRN-3533350,73092407413,N/A,6146831465003949,ANAÏS.SMITHJONES@example.com,+33 2 72 54 14,,"206 Rue du Faubourg, Bâtiment 2 03461 Toulouse, France",88.48873;84.012681,:544f:533:48cc:1ca:83a1:f8eb:2921,,E0:97:AC:6F:20:97,,,,,,,
Bob Moreau,bobmoreau123,acct_Bob_Moreau,677-46-7112,4.64676E+11,7WVGQP7,UVJAPL80,GOV-453734,CERT-2017-799596,MRN-5283905,4540691438,5843155676959795,4651413430768320,bob.moreau@example.com,-6319,,"1955 3rd St, Austin, WA 28728, USA",POINT(86.560746 -78.231683),5755:ce3:e3f5:68f2:82bb::f684:7539,,cf-ce-76-f2-09-07,,,,,,,
Camille Dupont,camilledupont_01,Camille_53,000000000,FR39536982320,ODY59BE,Y5CFREJ9AQ,redacted,CERT-2003-930058,MRN-8362487,98436633756,3735777785929450,**** **** **** 3299,camille.dupont..x@example.com,(209) 724-7149 x327,,"235 Boulevard Saint-Germain, Appartement 14 01783 Nice, France",22.046735;-168.379696,5cfc:b7ca:15ea:21c5:ce9c::e588:ba98,7YNJ9EA5AVZD,f56b.913b.1acf,,,,,,,
Linda Smith,linda63,Linda Smith Account,,NID-HIBTVQBK,TN97IY2Z,HPYY5R8716,redacted,CERT-2019-913953,MRN-8639141,10954728740,**** **** **** 3997,4679746317718620,linda_smith_63@sample.co.uk,(504) 475-5070 x837,N/A,"2162 Oak Avenue, San Francisco, TX 59845, USA","72.909775,54.773803",7fc2:8263:53b8::c11:5367:99d:b5f0,SN-6391285,a1:44:99:07:8b:3e,,,,,,,
Michael Nguyen,michaelnguyen,Michael Nguyen Account,N/A,FR46439442805,PAVMBCPRN,KYJBVXXW,redacted,CERT-2004-931254,MRN-9756578,89865984,XXXX-XXXX-XXXX-0000,4690743906484777,"""michael.nguyen@2""@testmail.com",(328) 643-2352 x654,+33 7 45 71 18,"9391 3rd St, New York, IL 33979, USA, near the big, old, oak tree, behind the museum","-14.345996,-131.335877",176.98.5.167,EYF7OLFVKCD5,c4:c1:89:6b:13:c1,,,,,,,
Robert Leclerc,robertleclerc,Robert Leclerc Account,480455531,FR48088611258,FGI2GZ7,A-7G30,,CERT-2011-134947,MRN-2673711,7.73952E+11,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,"""robert.leclerc@4""@company.org",-6117,-8658,"8795 Oak Avenue
Apt 417, Austin, IL 41642",Latitude: -38.511081; Longitude: -71.488332,136.120.154.134,,c1-47-e0-f4-69-72,,,,,,,
Théo O'Brown,théoo10,Théo O'Brown Account,030892290641,8.0598E+11,1KKN3Y,KHXREWE9D2AI,,CERT-2019-695367,MRN-2863583,38916190558,4296149909416798,**** **** **** 0807,théo.obrown..y@sample.co.uk,+33 1 99 98 80,-2976,"87 Rue de l'Église, Appartement 25 89812 Lyon, France",POINT(52.387783 -37.188501),263:4555:b09d:3b70::c94a:e59e:4728,SN-8129809,6c:aa:e1:43:0f:30,,,,,,,
Mathieu O'Moreau,mathieuomoreau,Mathieu O'Moreau Account,664-20-4732,3.60489E+11,F743YTU7D,MF0UKE2-CB,,CERT-2021-067934,MRN-0557402,2.3258E+11,**** **** **** 4438,masked: **** **** **** 5678,mathieu.omoreau..y@sample.co.uk,-2415,442.246.7645,"58 Rue de l'Église, Résidence Les Tilleuls 79004 Marseille, France","{""lat"": -24.517692, ""lon"": 48.441331}",124f:bf83:d670:7370:7018:ab3f::b725,SN-7218217,b0:b8:fa:6a:67:01,,,,,,,
Chris Williams,  chriswilliams268  ,acct_Chris_Williams,000-00-0000,8.92824E+11,3XNYERA9M,3CDZPP,GOV-495017,CERT-2004-508722,MRN-5672617,5.22359E+11,**** **** **** 4151,6338789591905303,CHRIS.WILLIAMS@mydomain.fr,+33 5 60 97 68,-8515,"4406 Oak Avenue, Seattle, NY 58068, USA",Latitude: -21.451737; Longitude: -49.299222,35.71.234.217,,2449.d8d0.e4d7,,,,,,,
Mathieu Williams,mathieuwilliams,Mathieu_4,000-00-0000,FR07043105503,A12WHRHQ7,WEVZB-WH,,CERT-2014-497161,MRN-1538611,072508452,<script>alert('xss')</script>,4741594925434500,mathieu.williams@sub.mydomain.fr,-2184,,"117 Boulevard Saint-Germain, Bâtiment 5 59810 Toulouse, France","{""lat"": 82.914867, ""lon"": 1.194121}",178.112.97.191,SN-2628856,e4:4d:a6:3b:47:c3,,,,,,,
Renée Smith,renéesmith970,corp:Renée Smith,484483333,FR01032082341,ZZFB5Z,TRDROSZE1J,,CERT-2014-723327,MRN-6105402,4.87614E+11,**** **** **** 7855,masked: **** **** **** 5678,renée.smith@sub.sample.co.uk,-8768,N/A,"155 Boulevard Saint-Germain, 97081 Marseille, France",POINT(76.009653 -65.259723),143.114.39.89,SN-4378985,1f73.7a8d.a324,,,,,,,
Robert Smith,robertsmith,Robert_58,XXX-XX-XXXX,FR93975955364,ZW6MAE93Y,2DRP68VJ,redacted,CERT-2002-892642,MRN-4430299,57873781,N/A,6621822479224767,robert.smith@company.org,-5894,N/A,"1073 Oak Avenue, Chicago, IL 77881, USA",Latitude: 64.349026; Longitude: 161.507411,127.0.0.1,SN-6590960,c8:98:a0:7c:64:62,,,,,,,
CHRIS SMITH,chrissmith,corp:CHRIS SMITH,XXX-XX-XXXX,7.61681E+11,GHWRVI,4GYDEP,,CERT-2002-513913,MRN-9205948,3530532562,**** **** **** 4114,6103891667709525,chris.smith@testmail.com,+33 8 36 20 29,,"8510 Pine Lane, Chicago, NY 18067, USA
PO Box 9552","3.690338,161.049237",6.178.60.237,SN-5593604,b79b.3745.6280,,,,,,,
PATRICIA D'SOUZA,patriciadsouza,PATRICIA_40,172806950,FR98020291726,PGSXYI,ODNDIREOBA,GOV-221181,CERT-2006-069114,MRN-4421437,35076499,**** **** **** 2255,4238143316166974,PATRICIA.DSOUZA@example.com,+33 6 92 57 76,+33 5 26 36 61,"5553 Pine Lane, Seattle, WA 47435, USA",43.338148;126.243331,127.0.0.1,,9d8e.191e.4ff9,,,,,,,
Olivia Martin,oliviamartin666,corp:Olivia Martin,,FR14876096737,LDXA1WC,#NAME?,,CERT-2002-108511,MRN-2089676,4310 7722,**** **** **** 0526,4522377504480638,olivia.martin+910@example.com,(594) 827-1570 x320,,"4318 Sunset Blvd, Chicago, CA 86939, USA",46.364836;-84.533808,159.212.234.237,VANU0KP2LRZR,0496b62c2b10,,,,,,,
Linda O'Moreau,lindaomoreau272,corp:Linda O'Moreau,180 81 2358,3.36983E+11,L2JRTVIL4,QIY5OI4LLJ,,CERT-2011-249680,MRN-0169932,81320723,4184655063698519,4644995143704345,linda.omoreau+95@company.org,(228) 438-5216 x455,-3850,"9682 Maple Drive, Chicago, WA 40986, USA","{""lat"": -31.15297, ""lon"": 2.202018}",7.152.160.54,SN-6412759,b2-85-e4-2b-b7-85,,,,,,,
Léa leClerC,léaleclerc,Léa_1,000-00-0000,039726754576,MHNJ156,TMW8XG33,,CERT-2016-379556,MRN-9225437,0997 28554,XXXX-XXXX-XXXX-0000,4770354766307798,léa.leclerc+156@company.org,-7351,-2794,"150 Avenue des Champs-Élysées, Résidence Le Parc 89501 Paris, France",POINT(25.988385 -58.232769),62.246.96.178,SN-1468326,6b-7d-9d-d4-af-21,,,,,,,
Mathieu Nguyen,mathieunguyen_dev,corp:Mathieu Nguyen,680 21 3794,5.0909E+11,8DLTYZ7K,9X9WVLBE,GOV-101693,CERT-2020-733344,MRN-4484792,9103 20410,N/A,masked: **** **** **** 5678,mathieu.nguyen+438@mydomain.fr,(927) 379-6715 x985,N/A,"112 Boulevard Saint-Germain, 54955 Toulouse, France","10.932587,130.165378",d3bd:8f62::221c:32e9:bf84:2af:a043,,18:99:CB:D0:03:C7,,,,,,,
Mathieu-Williams,mathieu-williams,acct_Mathieu-Williams,579 70 9997,NID-FBTKB6SF,80URC39,LUVCXTHVHD-N,,CERT-2014-796006,MRN-7960616,2.26916E+11,**** **** **** 8568,4984913878701883,"""mathieuwilliams@4""@testmail.com",+33 1 75 18 34,+33 1 74 28 33,"73 Rue du Faubourg, Résidence Les Tilleuls 67435 Paris, France",68.527331;31.006442,127.0.0.1,SJVBAL6SKIRG,3f:72:30:7a:fd:fc,,,,,,,
DR. PATRICIA WILLIAMS NGUYEN DUPONT MARTIN BROWN BROWN,patriciawilliams,acct_PATRICIA_WILLIAMS,394421654,FR43178421391,4I2HXQJKQ,KUAN7N,GOV-388415,CERT-2005-301961,MRN-2372074,189451088,XXXX-XXXX-XXXX-0000,6972040932424302,dr.patricia.williams.nguyen.dupont.martin.brown.brown+508@sample.co.uk,+33 7 86 19 16,,"7713 Maple Drive, New York, IL 48126, USA",-25.208536;179.847007,2778:b619:4964:6bc7:2ba7::ed51:fc6b,WDG8DDXRSBJ3,1e3b407131c7,,,,,,,
Linda Martin,lindamartin948,corp:Linda Martin,764172743,FR97806437196,HWYVPX,FGURLQAF,GOV-464161,CERT-2021-777341,MRN-7908680,84978507867,5815808678945118,**** **** **** 4199,LINDA.MARTIN@example.com,(926) 947-9590 x914,+33 2 68 19 34,"7939 Elm St, San Francisco, WA 70280, USA",Latitude: -42.39383; Longitude: 120.061344,127.0.0.1,4O4NG0J2WK5T,2b:16:08:cc:e2:f0,,,,,,,
Chris Smith,chrissmith,Chris_19,538 07 5429,NID-G70213RT,L659A5M,CT1OCY,redacted,CERT-2014-794447,MRN-9602964,2789328732,**** **** **** 9454,masked: **** **** **** 5678,CHRIS.SMITH@SAMPLE.CO.UK,+33 7 29 37 18,N/A,"5536 2nd Ave, San Francisco, WA 18415, USA",POINT(-18.544075 71.70496),127.0.0.1,SN-8368075,47:eb:f9:73:46:07,,,,,,,
Tom Johnson,tomjohnson123,Tom Johnson Account,635706231,2.55395E+11,X9M0JSL,VFV1TT,redacted,CERT-2017-498700,MRN-1359358,1536 720975,5912856859441645,**** **** **** 8456,tom.johnson@service.net,(966) 554-2642 x514,-5347,"3633 Sunset Blvd
Apt 468, New York, TX 35801",Latitude: 42.227381; Longitude: -13.200096,15.232.29.48,B3Y11CYWB6XJ,18:d7:d1:be:b1:6b,,,,,,,
JOHN D'SOUZA,johndsouza,corp:JOHN D'SOUZA,260-69-2334,8.77405E+11,FKVP7PQF,1X3I20,redacted,CERT-2011-442297,MRN-6703933,66646518,**** **** **** 0698,**** **** **** 0303,john.dsouza..x@example.com,-6781,N/A,"497 Oak Avenue, Seattle, IL 92917, USA, near the big, old, oak tree, behind the museum",-60.374369;78.659906,127.0.0.1,SN-6324069,64:ab:99:a4:ce:22,,,,,,,
Élodie O'Nguyen,élodieonguyen,corp:Élodie O'Nguyen,314442999,FR98749320392,X58XSU4Y,NAJQ0SNB6H,,CERT-2004-181723,MRN-5041226,8280 71002,N/A,4173868165223503,élodie.onguyen@company.org,+33 3 62 94 90,N/A,"114 Place de la République, 69673 Nice, France",POINT(27.441617 -25.401091),7491:6f35:10e5:b91d:6e5a:f8c8::15f7,IYHDPPJR945M,378c.38d1.c929,,,,,,,
luc de la cruz,lucdelacruz,luc de la cruz Account,Not Provided,5.93922E+11,U1UC4A,1XEA1N0HEI,redacted,CERT-2009-043030,MRN-1730699,6083 191260,XXXX-XXXX-XXXX-0000,6662300560944616,LUC.DE.LA.CRUZ@testmail.com,+33 4 84 22 87,+33 8 29 82 85,"49 Place de la République, 42219 Toulouse, France",POINT(-27.868578 -65.144605),:5fe4:8098:74ac:5630:294c:3390:2606,SN-7988235,bd53.7ffb.066a,,,,,,,
Luc Dupont,lucdupont,Luc_85,694265661,FR72239176196,HNU5TA7,T2RB2M4J-0G5,redacted,CERT-2010-460628,MRN-6183442,3375 201569,5164157337684095,masked: **** **** **** 5678,luc.dupont@sample.co.uk,+33 5 53 10 40,N/A,"183 Rue du Faubourg, Appartement 33 93199 Paris, France",-52.019466;-169.730548,183.71.233.47,,85:ed:77:b6:6b:a7,,,,,,,
Alice Williams,alicewilliams,corp:Alice Williams,730 81 3786,NID-W4U0GB8C,CNBKLG,NVXGLG06,,CERT-2006-160739,MRN-1422632,2635 54690,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,alice.williams@testmail.com,-2302,N/A,"8101 Oak Avenue, Chicago, WA 61963, USA","{""lat"": 71.756628, ""lon"": 151.680469}",226.242.17.34,Z01618X8RNEF,22-1e-cf-b5-2b-9c,,,,,,,
Tom Johnson,  tomjohnson_x  ,corp:Tom Johnson,N/A,1.70253E+11,OBAMLVY,R2QEMPEGWF06,,CERT-2017-787021,MRN-2663154,485297993,N/A,4750163270349142,tom.johnson@sub.sample.co.uk,595.810.9418,+33 2 98 39 36,"7999 Maple Drive, Seattle, WA 82109, USA","56.121049,118.750149",127.0.0.1,4HYESSG8WHT3,3fd4156a90a7,,,,,,,
CLAIRE O'CONNOR,claireoconnor123,CLAIRE_1,393986687,NID-DL6FENAA,PNHSF9HE,0PMBVA3R-VDS,,CERT-2005-462441,MRN-9802844,2265 9415258,5635781164466843,6101460235359681,CLAIRE.OCONNOR@service.net,+33 8 75 97 68,N/A,"230 Place de la République, Appartement 42 57051 Paris, France",Latitude: 88.447409; Longitude: 176.349038,127.0.0.1,SN-9676443,979e.c3ed.974b,,,,,,,
olivia de la cruz,oliviadelacruz385,acct_olivia_de_la_cruz,257940836,NID-MX15L0LX,IW30FWBP,W6Q8D70E,redacted,CERT-2021-796917,MRN-0434229,56502578,N/A,masked: **** **** **** 5678,olivia_de_la_cruz-44@company.org,+33 7 30 43 47,N/A,"8464 3rd St, Seattle, IL 13274, USA",Latitude: 69.686352; Longitude: -139.356814,113.142.41.77,SN-3822593,c75a.9ff3.df64,,,,,,,
MaRiE sMith,mariesmith123,MaRiE_50,120 98 4810,FR85645192427,JL75NUGF,47ZPQERS9452,redacted,CERT-2013-815327,MRN-1031887,1865 153121,XXXX-XXXX-XXXX-0000,6226412465529576,MARIE.SMITH@example.com,-6889,N/A,"75 Avenue des Champs-Élysées, Appartement 15 88328 Lyon, France","-67.069055,58.477971",7b6a:d4ef:c7cb:8678:7f78:b776::8b07,NI3U6RV1J4GM,49:84:99:c8:8d:b2,,,,,,,
Sébastien Dupont,sébastiendupont,corp:Sébastien Dupont,350 78 6875,FR23078141257,T4U2EGOH,075NHCITKY,,CERT-2010-630600,MRN-9468458,073664970695,<script>alert('xss')</script>,masked: **** **** **** 5678,"""sébastien.dupont@1""@sample.co.uk",+33 9 56 69 64,+33 4 25 64 12,"14 Rue du Faubourg, 20450 Toulouse, France",POINT(70.198722 77.971416),127.0.0.1,,82:d2:3d:8e:54:9c,,,,,,,
Théo D'Souza,théodsouza_x,acct_Théo_D'Souza,4.57018E+11,8.6961E+11,MHQI60G7Z,4UZ81N,,CERT-2021-288212,MRN-2206992,8340 7932818,3777110340207366,masked: **** **** **** 5678,théo.dsouza@sub.service.net,(606) 536-8260 x317,,"31 Place de la République, Résidence Les Tilleuls 78290 Nice, France",-27.442299;-136.336012,c1d7:2416::c105:ce6b:d2a6:3c82:c523,2B61YW3S81X2,a3:ed:fb:de:f6:6d,,,,,,,
JoHn SchmiDt,  johnschmidt  ,acct_JoHn_SchmiDt,000-00-0000,NID-NVXE0TFW,ZMBMYMO60,6ZVBD2SQNU,,CERT-2020-001510,MRN-6536470,929465132,**** **** **** 2361,**** **** **** 9244,"""john.schmidt@7""@example.com",-3675,,"9257 Sunset Blvd, San Francisco, NY 37468, USA",POINT(-45.597145 -75.182733),ebba::9f48:b545:b40:8b9a:e5b:81e3,5F19K88LE8IS,5231cc63c042,,,,,,,
Mathieu O'Schmidt,mathieuoschmidt609,Mathieu_17,000000000,9.29903E+11,D9A34CAO,8G5GWDY8UJSY,,CERT-2018-169504,MRN-1512286,4.83433E+11,XXXX-XXXX-XXXX-0000,4155886631438708,mathieu.oschmidt@sample.co.uk,-6406,,"146 Rue de l'Église, Appartement 27 70011 Paris, France","{""lat"": -40.733473, ""lon"": -82.303948}",a0e3::3db3:f967:a922:a6c7:214f:e677,SN-5000320,17:23:11:02:D5:A6,,,,,,,
ETHAN MOREAU,​ethanmoreau_x​,ETHAN_35,,FR84795196149,KXJH0WP93,D3ZYZ5WJ,,CERT-2020-311959,MRN-3157997,2393 5260177,N/A,**** **** **** 9214,"""ethan.moreau@4""@testmail.com",+33 3 30 22 65,+33 9 15 69 10,"1372 Maple Drive, Chicago, IL 74141, USA","{""lat"": 56.244297, ""lon"": 62.347482}",336b:5b56:352a:6180:63db:94aa:7ca:,TRVX41YYJWM0,34:f8:3e:45:16:74,,,,,,,
Vishal O'Schmidt,vishaloschmidt367,acct_Vishal_O'Schmidt,756-77-0134,FR89146312453,8H9KJKNRR,R3T8T7WZTT,GOV-444530,CERT-2022-275226,MRN-5729914,30978039934,5753919193828912,masked: **** **** **** 5678,vishal.oschmidt..y@sample.co.uk,+33 3 27 19 88,(714) 504-2640 x210,"880 Maple Drive, Chicago, WA 42118, USA","{""lat"": 13.307162, ""lon"": 42.34852}",127.0.0.1,,51-54-c1-d1-e5-94,,,,,,,
Léa-Williams,léa-williams,Léa-Williams Account,629309865,NID-EUZKIHM3,EZ97SA,4ZPOAT4GTG,,CERT-2024-933344,MRN-2767741,7825 634325,**** **** **** 9426,masked: **** **** **** 5678,léawilliams-90@example.com,-4176,,"242 Boulevard Saint-Germain, Bâtiment 2 89334 Marseille, France","{""lat"": 67.343658, ""lon"": -163.15273}",66fa:a4f4::1782:46de:9b37:8e97:fc,0IY9RSGS3DQS,29b1.78fb.55cd,,,,,,,
MATHIEU DE LA CRUZ,mathieudelacruz,MATHIEU DE LA CRUZ Account,449-35-3643,NID-LP8SDU1S,YGK37HJC3,JR8C-WKKQI3U,GOV-547419,CERT-2014-751441,MRN-2017011,2.30083E+11,N/A,masked: **** **** **** 5678,"""mathieu.de.la.cruz@8""@example.com",967.616.5200,-3331,"90 Allée des Rosiers, Appartement 43 11015 Marseille, France","{""lat"": -31.87272, ""lon"": 139.631718}",127.0.0.1,SN-2719287,f3:5c:f8:be:51:3a,,,,,,,
Grace de la Cruz,gracedelacruz,corp:Grace de la Cruz,FR06686799420,NID-KUGMMU0I,SO5L8L6Q,GKWIDC,,CERT-2005-048830,MRN-8124796,5192 084965,**** **** **** 7509,**** **** **** 2399,"""grace.de.la.cruz@3""@mydomain.fr",+33 5 11 87 98,,"8185 Oak Avenue
Apt 410, Austin, IL 79836",POINT(48.390569 -77.59467),184.93.40.234,,a7-cd-11-44-45-77,,,,,,,
Claire Schmidt,claire57,Claire Schmidt Account,244 14 6921,3.33149E+11,CBNK0Z,F39A66ZQTEZJ,redacted,CERT-2024-434098,MRN-2942501,4460 8348649,N/A,**** **** **** 9911,"""claire.schmidt@5""@sample.co.uk",+33 6 89 47 42,(466) 520-3421 x790,"36 Rue de l'Église, Appartement 1 05388 Toulouse, France","60.718946,48.65921",2225:484a:32da:326:115a:9296:d082:,,C4:48:5D:54:1C:A4,,,,,,,
Camille O'Johnson,camilleojohnson,Camille_5,055-75-9625,6.55842E+11,2TRILLF1Y,WLM6GR,redacted,CERT-2002-722521,MRN-0357779,6546 9915897,4785814429836875,**** **** **** 3155,"""camille.ojohnson@8""@company.org",+33 5 41 52 29,N/A,"115 Place de la République, 11902 Lyon, France, near the big, old, oak tree, behind the museum","{""lat"": 79.32812, ""lon"": 70.96062}",127.0.0.1,,6829.e246.281d,,,,,,,
Robert O'Martin,robert85,Robert O'Martin Account,XXX-XX-XXXX,4.37108E+11,BLL22QZA,O7Q5HO4A,redacted,CERT-2021-746841,MRN-2221200,94365869491,N/A,**** **** **** 6543,robert.omartin@testmail.com,+33 6 62 31 82,N/A,"1780 Sunset Blvd, Chicago, WA 30123, USA","81.474668,-103.083199",999.999.999.999,,be-54-33-92-72-f2,,,,,,,
chris smith,chris80,acct_chris_smith,704-58-9811,FR12123496059,ZRNYFHP,DU4G1K6R5XT6,GOV-616828,CERT-2023-840032,MRN-4614699,036199932,**** **** **** 4612,masked: **** **** **** 5678,chris_smith.30@example.com,-6214,(555) 811-1112 x83,"9661 Maple Drive, Seattle, NY 91145, USA",-85.669618;-95.62604,127.0.0.1,,44-64-d2-d8-9f-7a,,,,,,,
Robert Williams,robertwilliams255,corp:Robert Williams,487-96-8183,8.31092E+11,K19SSE933,80F4182L-0IB,,CERT-2024-615211,MRN-8101410,4.9517E+11,**** **** **** 0024,masked: **** **** **** 5678,robert.williams@sub.mydomain.fr,(436) 257-5460 x837,,"8207 Oak Avenue, San Francisco, IL 96853, USA",-27.034063;-56.451935,127.0.0.1,SN-3550124,68:C3:B4:AC:CE:AE,,,,,,,
Léa Nguyen,léanguyen,acct_Léa_Nguyen,305 10 6352,NID-SOQR9HX9,Y74SSOP,NHQAJBOBD8GA,GOV-332869,CERT-2002-121806,MRN-7559786,1613 71958807,**** **** **** 4943,**** **** **** 0510,léa.nguyen@company.org,(293) 746-2081 x740,N/A,"227 Avenue des Champs-Élysées, Résidence Le Parc 10461 Lyon, France",-55.955633;80.582448,127.0.0.1,,1c:e6:80:45:49:60,,,,,,,
anaïs moreau,anaïs65,acct_anaïs_moreau,Not Provided,FR39211878162,NTT07VACS,Q3KOZGY0JC82,,CERT-2018-412807,MRN-3677639,90779886182,XXXX-XXXX-XXXX-0000,6438833923840991,anaïs.moreau@company.org,-7433,N/A,"129 Rue de l'Église, 78166 Nice, France","40.706509,-163.433205",:cdae:c425:17cc:1ad1:5b9a:51ff:707,SN-5193728,9F:33:54:85:AC:CD,,,,,,,
SébastIen de lA cRuZ,sébastiendelacruz123,SébastIen de lA cRuZ Account,211-19-0230,7.81934E+11,3JQ4ZH,RDOUNCCVY7RH,redacted,CERT-2004-513146,MRN-0697541,4503 8607,N/A,masked: **** **** **** 5678,sébastien.de.la.cruz@sub.company.org,+33 1 44 31 37,,"75 Rue du Faubourg, 46085 Marseille, France","{""lat"": -20.342138, ""lon"": -161.891636}",:9bea:8f56:90:ca8c:13da:4ac8:c6bd,SN-7136916,2e:a8:75:0a:53:70,,,,,,,
Patricia de la Cruz,patriciadelacruz,corp:Patricia de la Cruz,469575657,NID-TYH64DK4,IRY38OF,YRKVB67LPJ,,CERT-2020-208004,MRN-4773237,6913 4381,XXXX-XXXX-XXXX-0000,**** **** **** 7725,patricia.de.la.cruz@sub.mydomain.fr,308.336.9268,,"7345 3rd St, Seattle, WA 88683, USA",Latitude: 28.569881; Longitude: 119.205195,127.0.0.1,,f16049a5c988,,,,,,,
samantha de la cruz,samanthadelacruz_dev,corp:samantha de la cruz,NID-MS3SODOS,5.66116E+11,2S8BJ3,I5MAH1TZXJG4,,CERT-2020-410584,MRN-3868443,30232763,N/A,6756344060210916,SAMANTHA.DE.LA.CRUZ@example.com,(684) 769-8352 x162,,"7679 Pine Lane, San Francisco, CA 30667, USA",Latitude: 80.44861; Longitude: -103.898505,92.149.40.225,,6619.1085.a7bf,,,,,,,
Camille Smith-Jones,camillesmith-jones,Camille Smith-Jones Account,FR30904581672,FR84101959922,WLIID5,R8YE9M9KWVHS,,CERT-2025-077982,MRN-2456051,9592570727,XXXX-XXXX-XXXX-0000,4262108308320913,CAMILLE.SMITHJONES@company.org,(672) 274-4446 x937,N/A,"230 Allée des Rosiers, Bâtiment 4 03900 Toulouse, France",-61.689814;-14.194277,eccf:bc8b:4c61:bf06::219b:605f:a531,SN-4788034,8215.59be.b9a9,,,,,,,
Patricia Leclerc,patricialeclerc,Patricia Leclerc Account,529258140,NID-TXRTA0Z7,JVNK6MZO,9BEG85,GOV-283350,CERT-2020-199015,MRN-0200565,1884 97416,4556336602352173,**** **** **** 2952,"""patricia.leclerc@7""@service.net",+33 5 93 32 56,-4086,"9716 Oak Avenue, Chicago, CA 10510, USA","-65.509681,-56.175834",3447:fd76:9587:3208:9b51:c5d8::d50b,C5CQP4M3XFQP,a4-b3-86-db-54-40,,,,,,,
